Title,Link
Bitchat – A decentralized messaging app that works over Bluetooth mesh networks (github.com/jackjackbits),https://github.com/jackjackbits/bitchat
I extracted the safety filters from Apple Intelligence models (github.com/bluefalconhd),https://github.com/BlueFalconHD/apple_generative_model_safety_decrypted
Intel's Lion Cove P-Core and Gaming Workloads (chipsandcheese.com),https://chipsandcheese.com/p/intels-lion-cove-p-core-and-gaming
Building the Rust Compiler with GCC (fractalfir.github.io),https://fractalfir.github.io/generated_html/cg_gcc_bootstrap.html
"Show HN: I wrote a ""web OS"" based on the Apple Lisa's UI, with 1-bit graphics (lisagui.com)",https://alpha.lisagui.com/
The first time I was almost fired from Apple (engineersneedart.com),https://www.engineersneedart.com/blog/almostfired/almostfired.html
"Show HN: Piano Trainer – Learn piano scales, chords and more using MIDI (github.com/zaneh)",https://github.com/ZaneH/piano-trainer
A non-anthropomorphized view of LLMs (addxorrol.blogspot.com),http://addxorrol.blogspot.com/2025/07/a-non-anthropomorphized-view-of-llms.html
Neanderthals operated prehistoric “fat factory” on German lakeshore (archaeologymag.com),https://archaeologymag.com/2025/07/neanderthals-operated-fat-factory-125000-years-ago/
Crypto 101 – Introductory course on cryptography (crypto101.io),https://www.crypto101.io/
High Performance Image Sensor Processing Using FPGAs [pdf] (uni-obuda.hu),https://oda.uni-obuda.hu/bitstream/handle/20.500.14044/10350/Gabor_S_Becker_ertekezes.pdf
Swedish Campground (2004) (folklore.org),https://www.folklore.org/Swedish_Campground.html
Why English doesn't use accents (deadlanguagesociety.com),https://www.deadlanguagesociety.com/p/why-english-doesnt-use-accents
Nobody has a personality anymore: we are products with labels (freyaindia.co.uk),https://www.freyaindia.co.uk/p/nobody-has-a-personality-anymore
"Opencode: AI coding agent, built for the terminal (github.com/sst)",https://github.com/sst/opencode
I Ported SAP to a 1976 CPU. It Wasn't That Slow (github.com/oisee),https://github.com/oisee/zvdb-z80/blob/master/ZVDB-Z80-ABAP.md
There's a COMPUTER inside my DS flashcart [video] (youtube.com),https://www.youtube.com/watch?v=uq0pJmd7GAA
Async Queue – One of my favorite programming interview questions (davidgomes.com),https://davidgomes.com/async-queue-interview-ai/
Thesis: Interesting work is less amenable to the use of AI (remark.ing),https://remark.ing/rob/rob/Thesis-interesting-work-ie
LLMs should not replace therapists (arxiv.org),https://arxiv.org/abs/2504.18412
Get the location of the ISS using DNS (shkspr.mobi),https://shkspr.mobi/blog/2025/07/get-the-location-of-the-iss-using-dns/
Show HN: A Language Server Implementation for SystemD Unit Files (github.com/jfryy),https://github.com/JFryy/systemd-lsp
Backlog.md – Markdown‑native Task Manager and Kanban visualizer for any Git repo (github.com/mrlesk),https://github.com/MrLesk/Backlog.md
Functions Are Vectors (2023) (thenumb.at),https://thenumb.at/Functions-are-Vectors/
Uncommon Uses of Python in Commonly Used Libraries (2022) (eugeneyan.com),https://eugeneyan.com/writing/uncommon-python/
I don't think AGI is right around the corner (dwarkesh.com),https://www.dwarkesh.com/p/timelines-june-2025
Jane Street barred from Indian markets as regulator freezes $566M (cnbc.com),https://www.cnbc.com/2025/07/04/indian-regulator-bars-us-trading-firm-jane-street-from-accessing-securities-market.html
The era of full stack chip designers (chipinsights.substack.com),https://chipinsights.substack.com/p/the-era-of-full-stack-chip-designers
Show HN: Modernized file manager and program manager from Windows 3.x (github.com/brianluft),https://github.com/brianluft/heirloom
Lessons from creating my first text adventure (entropicthoughts.com),https://entropicthoughts.com/lessons-from-creating-first-text-adventure
